Name,Oscars,Oscar Nominations,BAFTAs,BAFTA Nominations,Golden Globes,Golden Globe Nominations,Country,Greatest Performances
Laurence Olivier,1,11,2,10,2,5,English,"Sleuth, Hamlet, Rebecca, Spartacus"
Leonardo DiCaprio,1,6,1,4,2,11,American,"Titanic, Inception, The Revenant, The Wolf of Wall Street, What's Eating Gilbert Grape"
Liam Neeson,0,1,0,1,0,3,Irish,"Kinsey, Michael Collins, Schindler's List"
Marlon Brando,2,8,3,8,2,6,American,"The Godfather, Apocalypse Now, On the Waterfront, A Street Car Named Desire"
Martin Sheen,0,0,0,2,1,8,American,"Kennedy, Apocalypse Now, The Subject Wad Roses"
Matt Damon,1,5,0,3,1,7,American,"Invictus, Good Will Hunting, The Talented Mr. Ripley"
Matthew McConaughey,1,1,0,0,1,1,American,"Killer Joe, True Detective, Dallas Buyers Club"
Mel Gibson,2,3,0,2,1,4,Australian,"Ransom, Braveheart, What Women Want"
Michael Caine,2,6,1,8,3,12,English,"The Dark Knight, Educated Rita, The Cider House Rules, Hannah and Her Sisters"
Michael Douglas,2,2,0,2,1,7,American,"Behind the Candelabra, Wall Street, Wonder Boys, Fatal Attraction"
Morgan Freeman,1,5,0,0,1,5,American,"The Shawshank Redemption, Se7en, Glory, Million Dollar Baby"
Nicolas Cage,1,2,0,2,1,4,American,"Valley Girl, Leaving Las Vegas, Adaptation"
Orson Welles,0,1,0,1,1,3,American,"Butterfly, Citizen Kane, Chimes at Midnight"
Paul Newman,1,10,1,5,3,12,American,"The Hustler, The Verdict, Road to Perdition, The Color of Money"
Peter Finch,1,2,5,7,1,2,English,"Network, Sunday Bloody Sunday, The Flight of the Phoenix"
Peter O'Toole,0,8,1,4,4,11,Irish,"Lawrence of Arabia, Becket, The Lion in Winter"
Peter Sellers,0,3,1,4,1,5,English,"Being There, The Running, Jumping & Standing Still Film, Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
Philip Seymour Hoffman,1,4,1,5,1,5,American,"Capote, Doubt, The Master"
Ralph Fiennes,0,2,1,6,0,5,English,"The Grand Budapest Hotel, Schindler's List, The English Patient"
Richard Burton,0,7,2,4,2,7,Welsh,"Equus, My Cousin Rachel, Who's Afraid of Virginia Woolf?"
Robert De Niro,2,7,0,6,1,8,American,"Raging Bull, The Deer Hunter, The Godfather: Part II, Goodfellas, Taxi Driver"
Robert Downey Jr.,0,2,1,2,3,5,American,"Chaplin, Tropic Thunder, Sherlock Homes"
Robert Duvall,1,7,1,3,4,7,American,"The Apostle, Tender Mercies, Lonesome Dove"
Robert Mitchum,0,1,0,1,0,0,American,"Story of G.I. Joe, The Longest Day, Heaven Knows, Mr. Allison"
Robert Redford,1,4,3,4,2,5,American,"The String, Downhill Racer, Tell Them Willie Boy Is Here"
Robin Williams,1,4,0,2,4,10,American,"Mrs. Doubtfire, The Fisher King, Good Will Hunting, Dead Poets Society"
Russell Crowe,1,3,1,3,1,5,Australian,"Gladiator, The Insider, A Beautiful Mind, Les Misérables"
Samuel L. Jackson,0,1,1,1,0,4,American,"Pulp Fiction, Jackie Brown, A Time to Kill"
Sean Connery,1,1,1,4,1,1,Scottish,"The Untouchables, The Russia House, The Family Business"
Sean Penn,2,5,0,3,1,5,American,"Milk, I Am Sam, Mystic River"
Sidney Poitier,1,2,1,6,1,7,American,"Guess Who's Coming to Dinner, Lilies of the Field, The Defiant Ones, In the Heat of the Night"
Spencer Tracy,2,9,1,5,1,4,American,"Guess Who's Coming to Dinner, Boys Town, Captains Courageous, Judgement at Nuremberg"
Steve McQueen,0,1,0,0,0,4,American,"Papillon, The Sand Pebbles, Love with the Proper Stranger"
Tom Cruise,0,0,0,0,0,0,American,"Top Gun, Magnolia, Jerry Maguire, Born on the Fourth of July"
Tom Hanks,2,5,0,4,4,8,American,"Cast Away, Forrest Gump, Philadelphia, Saving Private Ryan"
Tommy Lee Jones,1,4,0,4,1,4,American,"In the Valley of Elah, Lincoln, The Fugitive"
Will Smith,0,2,0,0,0,5,American,"The Pursuit of Happiness, Ali, Concussion"
William Holden,1,3,0,2,0,0,American,"Network, Stalag 17, Sunset Blvd."
Woody Allen,4,24,9,23,2,13,American,"Annie Hall, Manhattan, Take the Money and Run"
