Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
France,FRA,79.008,79.246,79.496,79.755,80.021,80.291,80.558,80.819,81.067,81.299,81.508,81.692,81.852,81.992,82.114,82.224,82.328,82.432,82.541,82.659
French Guiana,GUF,75.248,75.658,76.069,76.471,76.858,77.226,77.574,77.905,78.219,78.511,78.775,79.001,79.189,79.339,79.458,79.555,79.642,79.731,79.832,79.952
French Polynesia,PYF,72.303,72.658,73.017,73.382,73.751,74.116,74.466,74.793,75.092,75.363,75.611,75.844,76.074,76.307,76.546,76.787,77.024,77.251,77.462,77.657
Gabon,GAB,58.264,57.968,57.791,57.759,57.885,58.181,58.641,59.229,59.904,60.637,61.4,62.168,62.924,63.648,64.318,64.913,65.418,65.839,66.187,66.467
Gambia,GMB,55.956,56.359,56.761,57.159,57.553,57.939,58.313,58.671,59.012,59.334,59.637,59.917,60.178,60.426,60.667,60.91,61.166,61.44,61.735,62.05
Georgia,GEO,69.902,70.065,70.22,70.349,70.451,70.538,70.635,70.765,70.946,71.18,71.46,71.773,72.097,72.412,72.707,72.973,73.207,73.414,73.6,73.767
Germany,DEU,77.982,78.245,78.502,78.752,78.993,79.222,79.435,79.631,79.81,79.974,80.124,80.261,80.391,80.517,80.642,80.77,80.902,81.039,81.18,81.326
Ghana,GHA,57.002,57.158,57.425,57.785,58.225,58.719,59.234,59.741,60.216,60.645,61.03,61.381,61.72,62.064,62.416,62.772,63.124,63.463,63.78,64.074
Gibraltar,GIB,75.281,75.605,76.006,76.461,76.949,77.436,77.884,78.268,78.573,78.793,78.935,79.022,79.085,79.154,79.24,79.351,79.485,79.63,79.778,79.927
Greece,GRC,78.587,78.789,78.992,79.189,79.378,79.563,79.746,79.934,80.13,80.333,80.542,80.754,80.963,81.166,81.361,81.548,81.727,81.901,82.072,82.239
Greenland,GRL,66.065,66.515,67,67.493,67.978,68.443,68.886,69.308,69.71,70.085,70.422,70.711,70.951,71.144,71.294,71.407,71.493,71.565,71.632,71.704
Grenada,GRD,72.648,72.805,72.929,73.023,73.088,73.123,73.125,73.096,73.038,72.96,72.867,72.768,72.669,72.579,72.503,72.445,72.408,72.388,72.384,72.397
Guadeloupe,GLP,77.077,77.395,77.713,78.031,78.345,78.654,78.951,79.233,79.5,79.752,79.994,80.232,80.472,80.718,80.968,81.22,81.469,81.708,81.931,82.138
Guam,GUM,75.011,75.373,75.726,76.065,76.387,76.687,76.966,77.227,77.474,77.71,77.941,78.173,78.408,78.649,78.895,79.144,79.391,79.631,79.859,80.074
Guatemala,GTM,67.849,68.304,68.717,69.092,69.437,69.762,70.082,70.409,70.75,71.108,71.481,71.861,72.236,72.596,72.935,73.25,73.541,73.81,74.063,74.302
Guinea,GIN,51.203,51.255,51.484,51.901,52.499,53.238,54.052,54.864,55.614,56.279,56.861,57.387,57.905,58.447,59.016,59.598,60.17,60.706,61.185,61.602
Guinea-Bissau,GNB,50.368,50.744,51.123,51.501,51.883,52.275,52.691,53.136,53.612,54.113,54.628,55.144,55.645,56.117,56.556,56.959,57.328,57.673,58.003,58.322
Guyana,GUY,65.242,65.532,65.828,66.122,66.412,66.694,66.972,67.247,67.521,67.792,68.059,68.321,68.575,68.819,69.049,69.262,69.454,69.624,69.774,69.906
Haiti,HTI,57.131,57.382,57.655,57.959,58.292,58.652,59.028,59.408,59.782,60.148,60.511,60.879,61.26,61.658,62.069,62.485,62.896,63.29,63.66,64.001
Honduras,HND,70.689,70.976,71.249,71.511,71.77,72.026,72.285,72.544,72.803,73.061,73.317,73.569,73.814,74.051,74.278,74.495,74.701,74.898,75.088,75.27
Hong Kong,HKG,80.76,81.038,81.291,81.526,81.746,81.953,82.15,82.339,82.525,82.711,82.903,83.109,83.329,83.56,83.801,84.043,84.277,84.493,84.687,84.857
Hungary,HUN,71.721,72.044,72.347,72.63,72.896,73.149,73.397,73.651,73.916,74.195,74.488,74.795,75.107,75.418,75.72,76.006,76.266,76.498,76.701,76.875
Iceland,ISL,79.882,80.183,80.466,80.716,80.927,81.099,81.244,81.377,81.512,81.654,81.801,81.951,82.095,82.231,82.359,82.481,82.601,82.725,82.855,82.993
India,IND,62.505,62.907,63.304,63.699,64.095,64.5,64.918,65.35,65.794,66.244,66.693,67.13,67.545,67.931,68.286,68.607,68.897,69.165,69.416,69.656
Indonesia,IDN,65.772,66.037,66.321,66.631,66.969,67.334,67.717,68.105,68.485,68.853,69.205,69.542,69.866,70.179,70.481,70.768,71.035,71.282,71.509,71.716
Iran,IRN,70.176,70.553,70.921,71.265,71.592,71.917,72.257,72.626,73.027,73.457,73.905,74.352,74.776,75.162,75.502,75.796,76.047,76.271,76.479,76.677
Iraq,IRQ,69.082,68.983,68.827,68.636,68.437,68.266,68.157,68.13,68.19,68.34,68.567,68.848,69.148,69.437,69.7,69.929,70.122,70.294,70.454,70.604
Ireland,IRL,76.852,77.227,77.627,78.035,78.439,78.822,79.168,79.475,79.743,79.975,80.182,80.382,80.593,80.823,81.076,81.344,81.615,81.872,82.103,82.305
Isle of Man,IMN,77.757,77.991,78.239,78.497,78.759,79.02,79.27,79.503,79.717,79.91,80.082,80.239,80.386,80.53,80.674,80.82,80.966,81.112,81.255,81.396
Israel,ISR,78.916,79.173,79.44,79.714,79.992,80.269,80.538,80.794,81.035,81.258,81.463,81.653,81.833,82.006,82.175,82.34,82.503,82.663,82.819,82.972
Italy,ITA,79.554,79.852,80.145,80.428,80.698,80.951,81.185,81.4,81.598,81.783,81.958,82.128,82.298,82.471,82.648,82.828,83.008,83.184,83.352,83.512
Jamaica,JAM,74.142,74.139,74.14,74.142,74.146,74.148,74.143,74.129,74.103,74.071,74.038,74.012,74.001,74.01,74.042,74.098,74.175,74.267,74.368,74.475
Japan,JPN,81.171,81.422,81.661,81.883,82.087,82.27,82.431,82.575,82.709,82.838,82.971,83.118,83.283,83.467,83.668,83.879,84.09,84.29,84.47,84.629
